Problem,Solver,VAH,#node,#BT,Runtime
d-10-01,BT,6,4202,4145,21
d-10-01,BT,7,113,56,2
d-10-01,BT,8,113,56,0
d-10-01,FC,6,1147,1090,0
d-10-01,FC,7,109,52,0
d-10-01,FC,8,109,52,0
d-10-06,BT,6,1408,1351,0
d-10-06,BT,7,80,23,0
d-10-06,BT,8,80,23,0
d-10-06,FC,6,261,204,0
d-10-06,FC,7,78,21,0
d-10-06,FC,8,78,21,0
d-10-07,BT,6,283,226,0
d-10-07,BT,7,57,0,0
d-10-07,BT,8,57,0,0
d-10-07,FC,6,163,106,0
d-10-07,FC,7,57,0,0
d-10-07,FC,8,57,0,0
d-10-08,BT,6,627,570,0
d-10-08,BT,7,62,5,0
d-10-08,BT,8,62,5,0
d-10-08,FC,6,258,201,0
d-10-08,FC,7,60,3,0
d-10-08,FC,8,60,3,0
d-10-09,BT,6,29647,29590,16
d-10-09,BT,7,107,50,0
d-10-09,BT,8,107,50,0
d-10-09,FC,6,12857,12800,0
d-10-09,FC,7,102,45,0
d-10-09,FC,8,102,45,0
d-15-01,BT,6,12902482,12902376,13087
d-15-01,BT,7,300411,300305,376
d-15-01,BT,8,301016,300910,361
d-15-01,FC,6,1763762,1763656,2104
d-15-01,FC,7,266430,266324,362
d-15-01,FC,8,266968,266862,345
