Problem,Solver,VAH,#node,#BT,Runtime
d-10-01,BT,1,57,0,0
d-10-01,BT,2,*,*,*
d-10-01,BT,3,297,240,5
d-10-01,BT,4,3408,3351,15
d-10-01,BT,5,383212873,383212816,272090
d-10-01,FC,1,57,0,0
d-10-01,FC,2,6971266,6971209,5872
d-10-01,FC,3,280,223,0
d-10-01,FC,4,2227,2170,0
d-10-01,FC,5,114217,114160,126
d-10-06,BT,1,390,333,0
d-10-06,BT,2,*,*,*
d-10-06,BT,3,57,0,0
d-10-06,BT,4,5641,5584,15
d-10-06,BT,5,11659076,11659019,10119
d-10-06,FC,1,355,298,0
d-10-06,FC,2,4914022,4913965,3770
d-10-06,FC,3,57,0,0
d-10-06,FC,4,3832,3775,0
d-10-06,FC,5,302795,302738,298
d-10-07,BT,1,526,469,0
d-10-07,BT,2,*,*,*
d-10-07,BT,3,355,298,0
d-10-07,BT,4,22942,22885,16
d-10-07,BT,5,322756093,322756036,227191
d-10-07,FC,1,478,421,0
d-10-07,FC,2,27032077,27032020,19798
d-10-07,FC,3,334,277,0
d-10-07,FC,4,15103,15046,20
d-10-07,FC,5,552438,552381,502
d-10-08,BT,1,61,4,0
d-10-08,BT,2,*,*,*
d-10-08,BT,3,87,30,0
d-10-08,BT,4,20146,20089,12
d-10-08,BT,5,38755516,38755459,26764
d-10-08,FC,1,60,3,0
d-10-08,FC,2,11907981,11907924,8571
d-10-08,FC,3,82,25,0
d-10-08,FC,4,12697,12640,0
d-10-08,FC,5,30814,30757,31
d-10-09,BT,1,100,43,0
d-10-09,BT,2,*,*,*
d-10-09,BT,3,9756,9699,0
d-10-09,BT,4,13888,13831,0
d-10-09,BT,5,*,*,*
d-10-09,FC,1,91,34,0
d-10-09,FC,2,*,*,*
d-10-09,FC,3,8738,8681,15
d-10-09,FC,4,8674,8617,0
d-10-09,FC,5,309177,309120,298
d-15-01,BT,1,285883,285777,393
d-15-01,BT,2,*,*,*
d-15-01,BT,3,257234,257128,361
d-15-01,BT,4,126356275,126356169,152201
d-15-01,BT,5,*,*,*
d-15-01,FC,1,264651,264545,361
d-15-01,FC,2,*,*,*
d-15-01,FC,3,232411,232305,346
d-15-01,FC,4,79608164,79608058,111152
d-15-01,FC,5,*,*,*
